
@relation house-prices

@attribute num_quartos numeric
@attribute tamanho numeric
@attribute idade numeric
@attribute preco numeric

@data
1, 95, 12, 81403
1, 107, 2, 102643
4, 239, 10, 953917
3, 167, 6, 490287
3, 187, 19, 549554
4, 254, 13, 1008696
3, 167, 8, 506201
1, 164, 13, 162589
3, 148, 19, 426631
1, 104, 23, 84967
3, 65, 23, 187898
5, 169, 26, 823289
3, 152, 8, 442490
5, 244, 10, 1210392
4, 166, 17, 657047
5, 221, 5, 1096010
4, 216, 13, 851899
4, 149, 12, 597189
2, 57, 22, 95029
2, 249, 14, 486548
1, 51, 12, 47839
3, 262, 7, 774769
3, 275, 26, 810187
4, 161, 28, 632521
2, 240, 1, 488338
1, 97, 1, 100076
5, 283, 12, 1407799
4, 160, 5, 642321
3, 281, 27, 830558
2, 67, 21, 126418
3, 212, 5, 629034
3, 163, 8, 490106
1, 80, 1, 78130
1, 55, 12, 49082
5, 199, 16, 977070
2, 90, 16, 181668
2, 87, 5, 162942
4, 145, 0, 572421
3, 166, 14, 492023
2, 289, 17, 575331
2, 194, 14, 382035
5, 108, 18, 522214
5, 144, 13, 706668
2, 181, 13, 348578
1, 73, 1, 66214
3, 92, 25, 263535
1, 92, 0, 90501
4, 131, 16, 523391
4, 249, 17, 979491
4, 158, 17, 615905
4, 193, 18, 759842
3, 84, 2, 251948
5, 115, 23, 553901
2, 247, 10, 489323
5, 194, 28, 954636
1, 184, 0, 185327
3, 173, 21, 509448
2, 158, 15, 312201
2, 93, 29, 163058
1, 118, 29, 103826
2, 161, 2, 324857
2, 59, 1, 108312
4, 215, 21, 854282
3, 247, 21, 739802
3, 130, 28, 381825
4, 99, 12, 390539
5, 273, 0, 1361619
3, 267, 12, 785287
4, 141, 0, 567321
1, 163, 27, 140420
4, 243, 7, 970012
5, 174, 30, 860606
3, 123, 13, 358873
1, 223, 2, 226893
4, 131, 4, 521391
2, 128, 19, 237811
4, 264, 13, 1047863
4, 63, 24, 242655
3, 75, 25, 211345
1, 104, 27, 84452
2, 294, 17, 569865
4, 133, 28, 510750
5, 226, 2, 1127743
5, 91, 19, 440455
4, 98, 28, 376793
4, 145, 17, 568317
5, 199, 2, 988718
1, 272, 8, 258876
5, 245, 24, 1210617
5, 144, 3, 722798
1, 248, 30, 227997
5, 281, 24, 1393511
2, 281, 19, 546102
5, 222, 16, 1103691
4, 95, 30, 372220
4, 298, 27, 1178817
1, 191, 22, 173319
4, 56, 28, 214642
2, 255, 0, 504996
2, 259, 11, 515043
2, 183, 30, 356694
3, 209, 30, 612701
5, 279, 10, 1382889
4, 253, 4, 1008633
4, 265, 29, 1045235
4, 234, 19, 932387
2, 53, 14, 97317
1, 81, 15, 72978
1, 53, 13, 50322
1, 273, 21, 256127
5, 234, 11, 1160299
2, 177, 16, 338880
1, 286, 15, 273001
4, 176, 12, 691103
5, 211, 25, 1046632
2, 179, 23, 346593
3, 293, 24, 874429
4, 51, 3, 196507
1, 296, 28, 281101
3, 166, 27, 493661
5, 222, 13, 1110411
3, 294, 27, 868260
4, 159, 20, 630071
4, 72, 13, 280238
3, 168, 4, 511067
5, 82, 29, 387298
2, 142, 3, 277198
5, 131, 20, 643088
2, 164, 24, 316759
2, 110, 19, 208120
2, 120, 18, 223715
3, 74, 29, 199556
3, 247, 17, 730403
2, 81, 28, 151611
4, 68, 9, 265115
4, 74, 2, 304383
5, 71, 20, 347884
5, 269, 11, 1335659
3, 225, 2, 664111
3, 161, 8, 487501
4, 254, 12, 1002722
2, 109, 7, 212283
1, 154, 7, 160303
3, 168, 27, 484827
3, 159, 9, 463697
2, 113, 7, 227434
2, 182, 18, 362290
3, 260, 19, 777052
4, 100, 26, 379927
1, 241, 11, 235259
5, 177, 23, 864151
2, 289, 22, 562856
1, 212, 16, 195363
3, 65, 10, 193824
2, 208, 28, 392670
3, 235, 17, 701869
1, 112, 24, 91418
1, 259, 27, 253817
4, 140, 8, 556647
2, 72, 9, 142255
3, 205, 6, 621377
1, 94, 8, 84918
3, 167, 11, 503945
1, 69, 17, 53958
5, 66, 2, 336476
5, 61, 13, 298578
3, 254, 18, 753359
5, 196, 11, 967368
3, 186, 13, 559171
3, 137, 2, 417351
5, 280, 20, 1397958
1, 50, 7, 53102
5, 228, 23, 1126453
5, 116, 16, 565445
3, 296, 26, 881339
4, 174, 4, 701650
4, 244, 26, 964733
2, 148, 6, 296273
5, 249, 4, 1243256
5, 224, 23, 1113449
1, 73, 1, 65709
5, 97, 20, 480039
1, 261, 20, 260290
2, 172, 22, 342735
5, 173, 30, 859635
4, 233, 14, 915981
3, 63, 7, 193809
1, 109, 24, 100712
5, 167, 29, 822300
4, 67, 0, 267139
4, 141, 24, 550712
1, 76, 8, 80895
2, 216, 25, 421464
5, 244, 21, 1205628
2, 211, 28, 401869
2, 117, 8, 232937
5, 200, 15, 1002008
1, 213, 13, 208500
3, 93, 6, 277536
4, 186, 0, 749195
3, 270, 11, 811180
3, 85, 17, 245160
4, 166, 28, 649704
3, 299, 25, 894086
3, 99, 30, 286643
3, 148, 12, 442966
1, 155, 7, 145792
3, 63, 19, 187628
2, 164, 13, 316232
4, 244, 13, 975906
4, 239, 14, 945283
2, 159, 6, 305240
2, 103, 14, 191376
4, 146, 10, 583569
3, 162, 27, 463155
2, 189, 8, 376851
5, 294, 15, 1467642
1, 70, 5, 69863
5, 110, 28, 532310
4, 249, 0, 993183
3, 185, 18, 552185
1, 73, 17, 57071
4, 153, 1, 615135
3, 273, 7, 818736
4, 136, 17, 526894
5, 128, 12, 634399
3, 280, 24, 826362
4, 131, 21, 522778
2, 269, 14, 521454
2, 245, 15, 485370
1, 231, 14, 217527
2, 158, 23, 311312
1, 53, 18, 38754
3, 59, 12, 173403
2, 297, 7, 583058
4, 204, 14, 816904
5, 92, 28, 441033
2, 186, 1, 363865
2, 292, 3, 588541
5, 123, 20, 600522
2, 192, 19, 370642
3, 90, 16, 262106
5, 80, 6, 391364
1, 103, 3, 95277
1, 273, 14, 266658
1, 106, 21, 88477
4, 202, 10, 796806
3, 120, 30, 346146
2, 291, 0, 581225
3, 117, 29, 337684
